馬番,性,齢,斤量,クラス,芝・ダート,距離,回り,馬場,天気,場id,馬番1,斤量1,オッズ1,体重1,体重変化1,上がり1,通過順1,着順1,距離1,クラス1,走破時間1,芝・ダート1,天気1,馬場1,馬番2,斤量2,オッズ2,体重2,体重変化2,上がり2,通過順2,着順2,距離2,クラス2,走破時間2,芝・ダート2,天気2,馬場2,馬番3,斤量3,オッズ3,体重3,体重変化3,上がり3,通過順3,着順3,距離3,クラス3,走破時間3,芝・ダート3,天気3,馬場3,馬番4,斤量4,オッズ4,体重4,体重変化4,上がり4,通過順4,着順4,距離4,クラス4,走破時間4,芝・ダート4,天気4,馬場4,馬番5,斤量5,オッズ5,体重5,体重変化5,上がり5,通過順5,着順5,距離5,クラス5,走破時間5,芝・ダート5,天気5,馬場5,平均斤量,距離差,日付差,距離差1,日付差1,距離差2,日付差2,距離差3,日付差3,距離差4,日付差4,勝率,連対率,複勝率
1,1,4,56.0,10,0,1200,2,0,0,6,6,55.0,4.6,446.0,0.0,31.3,11.0,1,1000,0,1.7701418995674945,0,0.0,,10,57.5,,,,,,5,1200,0,,0,,,2,56.5,3.6,454.0,0.0,35.7,1.0,9,1200,0,1.21727547075286,0,1.0,,10,54.0,34.5,454.0,-2.0,35.4,1.0,8,1200,0,1.2648732427700142,0,1.0,,13,53,3.9,456.0,4.0,34.8,1.0,13,1200,0,1.2319209390658303,0,0.0,,55.333333333333336,200,56,-200,120,0,62,0,126,0,21,0.1394755163611046,0.2552796472499419,0.3525179856115107
2,0,7,58.0,10,0,1200,2,0,0,6,5,57.0,9.4,494.0,6.0,34.2,5.5,7,1200,0,1.2538891415352864,0,0.0,,18,58.0,9.7,488.0,2.0,35.1,6.0,2,1200,0,1.2502277744570434,0,0.0,,8,57.5,6.5,486.0,6.0,34.3,2.0,1,1200,7,1.246566407378801,0,3.0,,3,57.5,6.8,480.0,-8.0,35.1,3.5,4,1200,7,1.1953072682834045,0,3.0,,7,57,7.8,488.0,4.0,34.0,6.0,8,1200,0,1.2392436732223158,0,0.0,,57.5,0,21,0,63,0,84,0,28,0,189,0.0461538461538461,0.1015384615384615,0.1589743589743589
3,0,4,58.0,10,0,1200,2,0,0,6,7,57.0,64.7,,,,,13,1200,0,,0,,,2,59.5,,,,,,4,1200,0,,0,,,17,58.0,7.3,476.0,4.0,34.5,7.5,4,1400,0,0.7339750164248351,0,1.0,,13,57.0,8.1,472.0,8.0,34.0,9.0,11,1400,0,0.7852341555202319,0,1.0,,17,55,10.9,464.0,-4.0,34.0,11.0,1,1400,0,0.7888955225984743,0,1.0,,57.416666666666664,0,154,0,22,-200,42,0,63,0,56,0.1083032490974729,0.2087845968712394,0.3086642599277978
4,1,6,56.0,10,0,1200,2,0,0,6,3,56.0,3.2,498.0,6.0,34.1,3.5,2,1200,0,1.2648732427700142,0,0.0,,3,56.0,2.9,492.0,0.0,33.1,3.5,2,1400,0,0.8621228641633265,0,0.0,,15,56.0,14.6,492.0,-2.0,33.8,8.5,3,1200,0,1.2392436732223158,0,0.0,,11,56.0,2.7,494.0,-2.0,33.1,3.0,1,1200,0,1.2795187110829849,0,0.0,,15,56,7.0,496.0,-2.0,34.1,4.0,5,1400,0,0.7962182567549596,0,1.0,,56.0,0,21,-200,127,200,34,0,29,-200,70,0.1138625880067977,0.2163146394756008,0.3204661325564457
5,0,5,58.0,10,0,1200,2,0,0,6,7,57.0,19.4,496.0,12.0,33.1,12.5,1,1200,0,1.2685346098482564,0,0.0,,12,57.0,14.7,484.0,-8.0,33.0,8.5,7,1400,0,0.836493294615628,0,0.0,,8,58.0,42.4,492.0,-4.0,34.5,9.5,10,1200,0,1.209952736596375,0,0.0,,16,57.0,18.6,496.0,12.0,34.0,11.5,1,1400,0,0.7449591176595628,0,1.0,,11,57,9.0,484.0,2.0,33.1,17.0,7,1200,0,1.2392436732223158,0,1.0,,57.333333333333336,0,21,-200,127,200,34,-200,36,200,90,0.1213805206200643,0.2278443989470605,0.324656332260895
6,1,6,56.0,10,0,1200,2,0,0,6,7,57.0,1.7,478.0,-2.0,33.3,13.5,8,1200,0,1.2758573440047418,0,1.0,,14,56.0,3.5,480.0,0.0,33.3,13.0,2,1200,0,1.246566407378801,0,0.0,,16,56.0,3.7,480.0,8.0,33.3,12.5,1,1400,0,0.8035409909114449,0,1.0,,5,56.0,8.2,472.0,-4.0,33.2,12.0,3,1200,0,1.2795187110829849,0,1.0,,2,55,2.2,476.0,6.0,34.2,5.0,5,1200,0,1.2355823061440732,0,0.0,,56.0,0,106,0,76,-200,99,200,83,0,35,0.2505875440658049,0.4218566392479436,0.5373090481786134
7,0,6,58.0,10,0,1200,2,0,0,6,11,59.5,3.0,,,,,2,1200,0,,0,,,2,57.0,6.4,,,,,2,1200,0,,0,,,10,58.0,3.8,530.0,-7.0,33.4,8.0,1,1200,0,1.2502277744570434,0,0.0,,9,57.0,12.5,537.0,,,,3,1200,0,,0,,,12,58,3.0,552.0,4.0,33.8,7.0,7,1200,0,1.2685346098482564,0,1.0,,57.916666666666664,0,99,0,55,0,28,0,112,0,70,0.26,0.4633333333333333,0.5566666666666666
8,0,4,58.0,10,0,1200,2,0,0,6,6,57.0,7.3,476.0,-4.0,34.4,3.0,2,1200,0,1.2355823061440732,0,0.0,,16,57.5,4.6,480.0,-2.0,34.9,1.0,3,1200,7,1.2392436732223158,0,0.0,,11,57.0,16.3,482.0,6.0,34.0,3.5,5,1200,0,1.283180078161227,0,1.0,,18,58.0,56.5,476.0,4.0,36.3,2.0,18,1200,0,1.162354964579221,0,0.0,,12,57,8.0,472.0,-8.0,33.4,1.5,2,1200,0,1.2758573440047418,0,0.0,,57.416666666666664,0,35,0,57,0,14,0,76,0,29,0.0594465322856166,0.1229928254185172,0.1916638196105227
9,1,6,56.0,10,0,1200,2,0,0,6,3,56.0,20.4,446.0,8.0,33.9,2.0,2,1600,0,0.3898065110700291,0,0.0,,3,56.0,10.2,438.0,2.0,32.3,16.5,4,1200,0,1.2612118756917716,0,1.0,,11,56.0,19.1,436.0,-2.0,34.8,14.5,6,1200,0,1.2392436732223158,0,0.0,,11,56.0,4.8,438.0,2.0,34.0,5.0,10,1000,7,1.660300887220216,0,,,17,56,186.4,436.0,-4.0,34.2,11.0,8,1200,0,1.21727547075286,0,0.0,,56.0,-400,22,400,27,0,35,200,42,-200,56,0.0628557287800049,0.1494679534768621,0.2370700321702548
10,2,7,58.0,10,0,1200,2,0,0,6,2,57.0,,,,,,2,1200,0,0.9243661044934512,0,,,1,61.0,,,,,,4,1200,0,1.0232230156060016,0,,,3,57.0,32.8,,,,,6,1200,0,0.906059269102238,0,,,1,58.0,2.0,,,,,1,1200,0,1.1477094962662504,0,,,1,57,,,,,,5,1400,0,0.5875203332951305,0,,,58.0,0,21,0,99,0,34,0,385,-200,28,0.0,0.0,0.25
